WKT,radio,mcc,net,area,cell,unit,longitude,latitude,range,samples,changeable,created,updated,averageSig,shape_X,shape_Y
POINT (-65.6439971899184 18.2462310803002),UMTS,330,110,41003,1127745,,-65.64399719,18.24623108,1000,1,1,1458850073,1458251268,,-65.64399719,18.24623108
POINT (-65.8829498301705 18.3698272698127),UMTS,330,110,41003,1165554,,-65.88294983,18.36982727,1000,1,1,1458850074,1451330903,,-65.88294983,18.36982727
POINT (-65.6316375696181 18.3327484098113),UMTS,330,110,41003,1155553,,-65.63163757,18.33274841,1000,1,1,1458850073,1439417880,,-65.63163757,18.33274841
POINT (-65.8348846398142 18.3506011997856),UMTS,330,110,41003,1162344,,-65.83488464,18.3506012,1000,1,1,1458850074,1456069576,,-65.83488464,18.3506012
POINT (-65.8197784396232 18.4096527097049),UMTS,330,110,41003,1156183,,-65.81977844,18.40965271,1000,1,1,1458850074,1456626472,,-65.81977844,18.40965271
POINT (-65.6961820000992 18.354034000169),UMTS,330,110,41003,1127315,,-65.696182,18.354034,1000,6,1,1458850073,1476161367,,-65.696182,18.354034
POINT (-65.6398773200822 18.2942962598646),UMTS,330,110,41003,1127643,,-65.63987732,18.29429626,1000,2,1,1458850073,1472500553,,-65.63987732,18.29429626
POINT (-65.6575959995557 18.2750700000805),UMTS,330,110,41003,1127713,,-65.657596,18.27507,1000,41,1,1458850073,1482314886,,-65.657596,18.27507
POINT (-65.5615997302433 18.1981658899439),UMTS,330,110,41003,1141553,,-65.56159973,18.19816589,1000,1,1,1458850073,1434898309,,-65.56159973,18.19816589
POINT (-65.6563568102186 18.2421112095647),UMTS,330,110,41003,1140684,,-65.65635681,18.24211121,1000,1,1,1458850073,1432133760,,-65.65635681,18.24211121
POINT (-65.6371307401915 18.2874298101377),UMTS,330,110,41003,1141583,,-65.63713074,18.28742981,1000,1,1,1458850073,1446063809,,-65.63713074,18.28742981
POINT (-65.7744598399496 18.3904266396777),UMTS,330,110,41003,1177445,,-65.77445984,18.39042664,1000,1,1,1458850074,1453985361,,-65.77445984,18.39042664
POINT (-66.0573580003714 17.9681400003608),UMTS,330,110,41004,1196480,,-66.057358,17.96814,1000,2,1,1458850074,1489353170,,-66.057358,17.96814
POINT (-66.171798999724 18.113480000102),UMTS,330,110,41004,1198780,,-66.171799,18.11348,1000,3,1,1458850074,1478357080,,-66.171799,18.11348
POINT (-65.9214019801173 18.4439849898155),UMTS,330,110,41003,1174317,,-65.92140198,18.44398499,1000,1,1,1458850074,1430044389,,-65.92140198,18.44398499
POINT (-65.7717132600588 18.3602142303025),UMTS,330,110,41003,1174944,,-65.77171326,18.36021423,1000,2,1,1458850074,1490205880,,-65.77171326,18.36021423
POINT (-66.1777499998626 18.1096869996554),UMTS,330,110,41004,1198681,,-66.17775,18.109687,1000,21,1,1458850074,1478113495,,-66.17775,18.109687
